Réseau,Code Etablissement,Etablissement,Code agence,Agence,Adresse,Ville,Code postal,Emplacement,Horaires Automate,Typologie,Etat de fonctionnement,point_geographique,latitude,longitude
Ce,14445,Ce Bretagne-Pays De Loire,524,La Chataigneraie/00524,1 RUE GABRIEL BRIAND,La Chataigneraie,85120.0,Dans La Rue,TLJ {06:00-23:59},Gab,disponible,"46.649444, -0.742006",46.649444,-0.742006
Ce,14445,Ce Bretagne-Pays De Loire,254,Angers La Madeleine/00254,92 RUE VOLNEY,Angers,49000.0,Dans La Rue,TLJ {06:00-23:59},Gab,disponible,"47.460091, -0.537422",47.460091,-0.537422
Ce,14445,Ce Bretagne-Pays De Loire,22025,Plabennec/22025,2 PLACE DU GENERAL DE GAULLE,Plabennec,29860.0,Dans La Rue,TLJ {06:00-23:59},Gab,disponible,"48.502216, -4.426226",48.502216,-4.426226
Ce,17515,Ce Ile-De-France,631,Guyancourt/00631,43 RUE GEORGES HAUSSMANNLA VILLAROY,Guyancourt,78280.0,Sas,TLJ {06:00-22:00},Gvv,service dégradé,"48.768486, 2.076734",48.768486,2.076734
Ce,17515,Ce Ile-De-France,651,Rueil 2000/00651,2 - 4 PLACE DE L EUROPE,Rueil-Malmaison,92500.0,Dans La Rue,TLJ {06:00-23:59},Gab,disponible,"48.888627, 2.168345",48.888627,2.168345
Ce,17515,Ce Ile-De-France,657,Beynes/00657,CENTRE COMMERCIALLA PETITE MAULDRE,Beynes,78650.0,Sas,TLJ {06:00-22:00},Gvv,disponible,"48.8516, 1.879144",48.8516,1.879144
Ce,17515,Ce Ile-De-France,73,Puteaux/00073,51 BOULEVARD RICHARD WALLACE,Puteaux,92800.0,Sas,TLJ {06:00-22:00},Gvv,disponible,"48.880666, 2.237993",48.880666,2.237993
Ce,17515,Ce Ile-De-France,326,Mormant/00326,92 RUE DU GENERAL DE GAULLE,Mormant,77720.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00},Udv,disponible,"48.550127, 2.90067",48.550127,2.90067
Ce,17515,Ce Ile-De-France,636,Les Clayes Sous Bois/00636,30 RUE MAURICE JOUET,Les Clayes-Sous-Bois,78340.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00},Car,disponible,"48.823031, 1.990463",48.823031,1.990463
Ce,17515,Ce Ile-De-France,640,Meudon La Foret/00640,CENTRE COMMERCIALJOLI MAI,Meudon,92190.0,Sas,TLJ {06:00-22:00},Gvv,disponible,"48.814821, 2.241009",48.814821,2.241009
Ce,17515,Ce Ile-De-France,659,Elancourt Templiers/00659,CENTRE COMMERCIALLA VILLEDIEU,Elancourt,78990.0,Dans La Rue,TLJ {06:00-23:59},Gab,disponible,"48.770326, 1.969605",48.770326,1.969605
Ce,17515,Ce Ile-De-France,659,Elancourt Templiers/00659,CENTRE COMMERCIALLA VILLEDIEU,Elancourt,78990.0,Sas,TLJ {06:00-22:00},Gvv,disponible,"48.770326, 1.969605",48.770326,1.969605
Ce,17515,Ce Ile-De-France,175,Le Plessis Robinson/00175,3 AVENUE ARISTIDE BRIAND,Le Plessis-Robinson,92350.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00},Udv,disponible,"48.780509, 2.2571",48.780509,2.2571
Ce,17515,Ce Ile-De-France,38,Paris Malesherbes/00038,37 RUE JOUFFROY D ABBANS,Paris,75017.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-18:30} Sam {09:00-13:00 13:45-16:15},Gvv,disponible,"48.885537, 2.308546",48.885537,2.308546
Ce,17515,Ce Ile-De-France,305,Montereau Fault Yonne/00305,15 RUE VICTOR HUGO,Montereau-Fault-Yonne,77130.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00},Car,disponible,"48.385554, 2.954273",48.385554,2.954273
Ce,17515,Ce Ile-De-France,327,Pontault Combault Carrefour/00327,CENTRE COMMERCIAL CARREFOURRN 4,Pontault-Combault,77340.0,Dans La Rue,TLJ {06:00-23:59},Gab,disponible,"48.776838, 2.597159",48.776838,2.597159
Ce,17515,Ce Ile-De-France,402,Meaux Dunant/00402,10 PLACE COLBERT,Meaux,77100.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00},Udv,disponible,"48.949856, 2.904812",48.949856,2.904812
Ce,17515,Ce Ile-De-France,7,Paris Saint Lazare/00007,100-102 rue Saint Lazare,Paris,75009.0,Interne,Lun au Mer et Ven {11:30-18:00} Jeu {11:30-17:15} Sam {09:00-12:30 13:45-16:30},Gvv,disponible,"48.875761, 2.327496",48.875761,2.327496
Bp,16607,Bp Sud,243,Agde La Treille/00243,55 ROUTE DE SETE,Agde,34300.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"43.310741, 3.481295",43.310741,3.481295
Bp,16607,Bp Sud,340,Montpellier Campus/00340,34 AVENUE EMILE DIACON,Montpellier,34000.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"43.584724, 3.871595",43.584724,3.871595
Ce,17515,Ce Ile-De-France,41,Paris Trocadero/00041,84 RUE DE LONGCHAMP,Paris,75016.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.86549, 2.2838",48.86549,2.2838
Ce,17515,Ce Ile-De-France,41,Paris Trocadero/00041,84 RUE DE LONGCHAMP,Paris,75016.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Udv,disponible,"48.86549, 2.2838",48.86549,2.2838
Ce,17515,Ce Ile-De-France,301,Provins/00301,1 RUE VICTOR ARNOUL,Provins,77160.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Car,disponible,"48.559081, 3.302367",48.559081,3.302367
Ce,17515,Ce Ile-De-France,301,Provins/00301,1 RUE VICTOR ARNOUL,Provins,77160.0,Sas,TLJ {06:00-22:00},Gvv,disponible,"48.559081, 3.302367",48.559081,3.302367
Ce,17515,Ce Ile-De-France,595,Cergy Cerclades/00595,2 PLACE DES CERCLADESCENTRE COMMERCIAL,Cergy,95000.0,Interne,Mar et Jeu {10:00-13:00 15:00-18:45} Mer et Ven {10:00-17:45} Sam {09:00-12:30},Gvv,hors service,"49.037636, 2.080998",49.037636,2.080998
Ce,17515,Ce Ile-De-France,595,Cergy Cerclades/00595,2 PLACE DES CERCLADESCENTRE COMMERCIAL,Cergy,95000.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"49.037636, 2.080998",49.037636,2.080998
Ce,17515,Ce Ile-De-France,163,Joinville Le Pont/00163,52B AVENUE DU GENERAL GALLIENI,Joinville-Le-Pont,94340.0,Sas,TLJ {06:00-22:00},Gvv,disponible,"48.819909, 2.478151",48.819909,2.478151
Ce,17515,Ce Ile-De-France,315,Moret Sur Loing/00315,23 RUE GRANDE,Moret-Sur-Loing,77250.0,Sas,TLJ {06:00-22:00},Gdv,disponible,"48.373163, 2.816848",48.373163,2.816848
Ce,17515,Ce Ile-De-France,315,Moret Sur Loing/00315,23 RUE GRANDE,Moret-Sur-Loing,77250.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Car,disponible,"48.373163, 2.816848",48.373163,2.816848
Ce,17515,Ce Ile-De-France,512,Le Blanc Mesnil/00512,21 AVENUE PIERRE ET MARIE CURIE,Le Blanc-Mesnil,93150.0,Interne,Mar et Jeu {09:15-12:45 15:00-18:45} Mer et Ven {09:15-12:45 14:00-16:15} Sam {08:30-12:45},Gvv,service dégradé,"48.936092, 2.45998",48.936092,2.45998
Ce,17515,Ce Ile-De-France,568,Le Raincy/00568,103 AVENUE DE LA RESISTANCE,Le Raincy,93340.0,Sas,TLJ {06:00-22:00},Gvv,disponible,"48.89651, 2.514873",48.89651,2.514873
Ce,13485,Ce Languedoc-Roussillon,266,Montpellier La Pompignane/00266,1651 AVENUE DE LA POMPIGNANE,Montpellier,34000.0,Interne,,Udv,disponible,"43.621161, 3.89748",43.621161,3.89748
